2023-04-05 08:50:36 [info     ] pulling
2023-04-05 08:50:36 [info     ] pulling 1 status contexts
2023-04-05 08:50:36 [info     ] pulling 0 status dbs
2023-04-05 08:50:36 [info     ] pulling 0 runs
2023-04-05 09:43:55 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=527
2023-04-05 09:43:55 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=527
2023-04-05 09:43:56 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33485753
2023-04-05 09:43:56 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33485753
2023-04-05 09:43:57 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=667
2023-04-05 09:43:57 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=667
2023-04-05 09:43:58 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33485866
2023-04-05 09:43:58 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33485866
2023-04-05 09:43:59 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=694
2023-04-05 09:43:59 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=694
2023-04-05 09:44:01 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33485680
2023-04-05 09:44:01 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33485680
2023-04-05 09:44:01 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=912
2023-04-05 09:44:01 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=912
2023-04-05 09:44:03 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33485882
2023-04-05 09:44:03 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33485882
2023-04-05 09:44:04 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=551
2023-04-05 09:44:04 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=551
2023-04-05 09:44:05 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33020661
2023-04-05 09:44:05 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33020661
2023-04-05 09:44:06 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=100
2023-04-05 09:44:06 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=100
2023-04-05 09:44:07 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33020742
2023-04-05 09:44:07 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33020742
2023-04-05 09:44:28 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33460864
2023-04-05 09:44:28 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33460864
2023-04-05 09:44:28 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=146
2023-04-05 09:44:28 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=146
2023-04-05 09:44:30 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33489423
2023-04-05 09:44:30 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33489423
2023-04-05 09:44:30 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=355
2023-04-05 09:44:30 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=355
2023-04-05 09:44:32 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33475094
2023-04-05 09:44:32 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33475094
2023-04-05 09:44:33 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=534
2023-04-05 09:44:33 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=534
2023-04-05 09:44:35 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33458804
2023-04-05 09:44:35 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33458804
2023-04-05 09:44:35 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=659
2023-04-05 09:44:35 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=659
2023-04-05 09:44:37 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/32211226
2023-04-05 09:44:37 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/32211226
2023-04-05 09:44:37 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=1156
2023-04-05 09:44:37 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=1156
2023-04-05 09:44:39 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33476446
2023-04-05 09:44:39 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33476446
2023-04-05 09:44:39 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=112
2023-04-05 09:44:39 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=112
2023-04-05 09:44:41 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33475270
2023-04-05 09:44:41 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33475270
2023-04-05 09:44:42 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=519
2023-04-05 09:44:42 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=519
2023-04-05 09:44:44 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33463999
2023-04-05 09:44:44 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33463999
2023-04-05 09:44:44 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=150
2023-04-05 09:44:44 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=150
2023-04-05 09:44:46 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33470676
2023-04-05 09:44:46 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33470676
2023-04-05 09:44:46 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=193
2023-04-05 09:44:46 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=193
2023-04-05 09:44:48 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33457838
2023-04-05 09:44:48 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33457838
2023-04-05 09:44:48 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=699
2023-04-05 09:44:48 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=699
2023-04-05 09:44:50 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33474859
2023-04-05 09:44:50 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33474859
2023-04-05 09:44:50 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=435
2023-04-05 09:44:50 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=435
2023-04-05 09:44:52 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33464476
2023-04-05 09:44:52 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33464476
2023-04-05 09:44:53 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=1019
2023-04-05 09:44:53 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=1019
2023-04-05 09:44:55 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33469938
